,-69
12986474,15,-65
12986475,15,-83
12986476,43,-74
12986477,43,-91
12986478,43,-86
12986479,43,-75
12986480,15,-84
12986481,15,-79
12986482,43,-74
12986483,80,-86
12986484,15,-82
12986485,15,-62
12986486,15,-85
12986487,15,-79
12986488,43,-71
12986489,43,-73
12986490,43,-78
12986491,43,-79
12986492,43,-102
12986493,80,-97
12986494,80,-105
12986495,43,-99
12986496,80,-90
12986497,80,-90
12986498,15,-70
12986499,15,-79
12986500,43,-77
12986501,43,-100
12986502,43,-74
12986503,43,-93
12986504,43,-78
12986505,43,-84
12986506,80,-92
12986507,15,-86
12986508,15,-63
12986509,15,-65
12986510,43,-89
12986511,43,-84
12986512,43,-80
12986513,80,-87
12986514,80,-94
12986515,15,-69
12986516,43,-88
12986517,15,-95
12986518,15,-77
12986519,15,-79
12986520,43,-98
12986521,43,-92
12986522,43,-67
12986523,80,-86
12986524,80,-95
12986525,15,-64
12986526,15,-71
12986527,43,-78
12986528,43,-87
12986529,43,-84
12986530,80,-82
12986531,15,-84
12986532,15,-81
12986533,43,-86
12986534,43,-99
12986535,43,-72
12986536,43,-80
12986537,43,-76
12986538,80,-93
12986539,15,-67
12986540,15,-68
12986541,43,-81
12986542,43,-86
12986543,15,-69
12986544,43,-87
12986545,43,-82
12986546,43,-90
12986547,43,-88
12986548,43,-75
12986549,43,-88
12986550,43,-77
12986551,80,-91
12986552,15,-65
12986553,15,-77
12986554,43,-83
12986555,43,-82
12986556,43,-94
12986557,43,-78
12986558,15,-76
12986559,15,-94
12986560,15,-65
12986561,43,-96
12986562,43,-91
12986563,43,-75
12986564,80,-85
12986565,15,-84
12986566,15,-66
12986567,43,-75
12986568,43,-97
12986569,43,-96
12986570,43,-67
12986571,15,-67
12986572,15,-92
12986573,43,-86
12986574,43,-73
12986575,43,-92
12986576,43,-88
12986577,43,-86
12986578,43,-83
12986579,43,-81
12986580,43,-80
12986581,80,-87
12986582,15,-94
12986583,15,-65
12986584,43,-72
12986585,43,-93
12986586,43,-76
12986587,15,-64
12986588,43,-67
12986589,43,-92
12986590,43,-81
12986591,80,-89
