,-76
12837796,39,-85
12837797,39,-80
12837798,39,-91
12837799,39,-94
12837800,39,-71
12837801,93,-87
12837802,93,-63
12837803,93,-82
12837804,6,-82
12837805,73,-90
12837806,39,-85
12837807,39,-89
12837808,39,-58
12837809,39,-82
12837810,39,-76
12837811,39,-85
12837812,93,-87
12837813,93,-67
12837814,93,-84
12837815,93,-71
12837816,93,-61
12837817,6,-96
12837818,6,-84
12837819,15,-87
12837820,15,-75
12837821,39,-82
12837822,39,-83
12837823,39,-67
12837824,39,-88
12837825,39,-82
12837826,39,-82
12837827,93,-67
12837828,93,-96
12837829,93,-72
12837830,93,-61
12837831,6,-86
12837832,6,-84
12837833,6,-81
12837834,6,-91
12837835,15,-68
12837836,15,-72
12837837,39,-62
12837838,39,-87
12837839,39,-60
12837840,39,-61
12837841,39,-73
12837842,93,-63
12837843,93,-88
12837844,93,-84
12837845,93,-90
12837846,6,-84
12837847,6,-76
12837848,6,-97
12837849,6,-87
12837850,15,-100
12837851,15,-73
12837852,73,-85
12837853,39,-71
12837854,39,-60
12837855,39,-79
12837856,39,-67
12837857,39,-93
12837858,93,-66
12837859,93,-56
12837860,93,-86
12837861,93,-86
12837862,6,-76
12837863,6,-86
12837864,6,-85
12837865,15,-82
12837866,15,-88
12837867,39,-84
12837868,39,-71
12837869,39,-89
12837870,39,-71
12837871,39,-86
12837872,39,-57
12837873,39,-66
12837874,93,-95
12837875,93,-86
12837876,93,-84
12837877,6,-75
12837878,6,-88
12837879,6,-90
12837880,6,-98
12837881,15,-73
12837882,15,-98
12837883,39,-71
12837884,39,-74
12837885,39,-72
12837886,39,-79
12837887,39,-82
12837888,39,-80
12837889,39,-74
12837890,39,-88
12837891,93,-76
12837892,93,-51
12837893,93,-87
12837894,93,-76
12837895,6,-79
12837896,6,-75
12837897,6,-82
12837898,15,-89
12837899,15,-82
12837900,39,-77
12837901,39,-89
12837902,39,-74
12837903,39,-64
12837904,39,-60
12837905,39,-63
12837906,39,-70
12837907,39,-87
12837908,39,-66
12837909,93,-79
12837910,93,-86
12837911,93,-44
12837912,6,-85
12837913,6,-94
12837914,6,-76
12837915,6,-88
12837916,15,-92
12837917,39,-86
12837918,39,-98
12837919,39,-70
12837920,39,-75
12837921,39,-90
12837922,93,-93
12837923,93,-57
12837924,93,-86
12837925,6,-84
12837926,6,-72
12837927,6,-92
12837928,15,-67
12837929,15,-79
12837930,15,-97
12837931,39,-77
12837932,39,-67
12837933,39,-81
12837934,39,-81
12837935,39,-63
12837936,93,-98
12837937,6,-92
12837938,15,-69
